,S537_AD1,S538_AD2,S539_AD3,S540_AD4,S541_AD5,S542_AD6,S958_AD1,S959_AD2,S960_AD3,S961_AD4,S962_AD5,S963_AD6,S1189_AD1,S1190_AD2,S1191_AD3,S1192_AD4,S1193_AD5,S1194_AD6,S1365_AD1,S1366_AD2,S1367_AD3,S1368_AD4,S1369_AD5,S1370_AD6
,#048,#049,#050,#051,#052,#053,#086,#087,#088,#089,#090,#091,#095,#096,#097,#098,#099,#100,#103,#104,#105,#106,#107,#108
2377.356,0.02737287,0.03268132,0.02645057,0.03330382,0.02128166,0.02487968,0.03004519,0.02539249,0.02765156,0.03535569,0.0358496,0.03332161,0.02199727,0.03018308,0.02885059,0.02929918,0.03237806,0.02938811,0.0293796,0.03089955,0.03272738,0.03209464,0.02844865,0.03193931
2377.838,0.02736213,0.03271899,0.02648588,0.03334388,0.02134768,0.02493507,0.0301023,0.02545211,0.02769846,0.03541911,0.03589206,0.03335882,0.02203096,0.030217,0.02885788,0.029345,0.0324294,0.02943001,0.02938493,0.03088771,0.0327235,0.03213224,0.02848548,0.03199079
2378.321,0.02735273,0.03275185,0.0265177,0.03338202,0.02139844,0.02498447,0.0301532,0.02549384,0.0277304,0.03547507,0.03592952,0.0333921,0.02205659,0.03024475,0.02886239,0.0293835,0.03247214,0.0294646,0.02938973,0.03086868,0.032717,0.03217368,0.02852709,0.03204249
2378.802,0.0273461,0.03277802,0.0265449,0.03341574,0.02143321,0.02502908,0.03019982,0.0255211,0.02774826,0.03552084,0.0359567,0.0334189,0.02207343,0.03026375,0.02886111,0.02941027,0.03250177,0.02948754,0.02939259,0.03084245,0.03270792,0.03221416,0.02856943,0.0320897
2379.285,0.02734786,0.03280549,0.02657018,0.03345145,0.0214562,0.02507498,0.03024871,0.02554238,0.02775856,0.03556439,0.03597839,0.03344319,0.02208432,0.03027916,0.02885549,0.02943012,0.03252309,0.02950463,0.02939767,0.03081741,0.03270358,0.03225352,0.02861296,0.03213715
2379.767,0.02735806,0.03283416,0.02659464,0.03348839,0.02147186,0.02512491,0.03030132,0.02556391,0.02776513,0.03560787,0.03599462,0.03346509,0.0220924,0.0302922,0.0288462,0.02944636,0.03254049,0.02951922,0.02940571,0.03079726,0.03270569,0.03229022,0.02865532,0.0321839
2380.249,0.02737737,0.03287037,0.02662086,0.03353124,0.02148538,0.02518208,0.03036009,0.02559173,0.02777389,0.03565796,0.03601158,0.0334871,0.02210219,0.0303082,0.02883688,0.02946684,0.03256112,0.02953875,0.02942079,0.03078998,0.03271987,0.03232548,0.02869702,0.03223404
2380.731,0.02740011,0.03291046,0.02664851,0.033576,0.0214987,0.02524323,0.03042084,0.02562542,0.02778418,0.0357113,0.03602768,0.03350598,0.02211493,0.03032493,0.0288276,0.02949275,0.03258569,0.02956279,0.02944175,0.03079593,0.03274362,0.03235742,0.02873421,0.03228276
2381.213,0.02742277,0.03295618,0.02667766,0.03362336,0.02151311,0.02530519,0.03048108,0.025664,0.02779671,0.03576802,0.0360459,0.03352052,0.02213204,0.03034324,0.02882084,0.02952636,0.03261526,0.02959257,0.02946958,0.03081782,0.0327774,0.03238605,0.02876635,0.0323296
2381.695,0.02743837,0.03300117,0.02670608,0.03366728,0.0215271,0.02536105,0.03053456,0.02570216,0.02780741,0.03582158,0.03606352,0.03352701,0.022152,0.0303578,0.02881591,0.02956264,0.03264473,0.02962241,0.02950072,0.03085055,0.03281463,0.03240795,0.02878938,0.03236645
2382.177,0.02744679,0.03304812,0.02673463,0.03371036,0.0215409,0.0254074,0.03058019,0.02573811,0.02781634,0.03587319,0.03608458,0.03352755,0.02217452,0.03036934,0.02881518,0.0295993,0.03267212,0.02965129,0.0295356,0.03089377,0.03285507,0.03242421,0.02880458,0.03239432
2382.66,0.02744759,0.03309244,0.02676185,0.0337493,0.02155375,0.02544083,0.03061578,0.02576916,0.02782175,0.03592034,0.0361082,0.03352293,0.02219852,0.03037541,0.02881892,0.0296303,0.03269325,0.02967474,0.02957159,0.03094144,0.03289408,0.03243413,0.02881151,0.03241005
2383.142,0.02744623,0.03313886,0.02678946,0.03378979,0.02156692,0.02546311,0.03064468,0.0257973,0.02782706,0.03596821,0.03613992,0.03351936,0.02222532,0.03038157,0.02883056,0.02965496,0.0327091,0.02969485,0.02961076,0.03099349,0.03293421,0.03244148,0.02881547,0.03242092
2383.624,0.02744585,0.03318385,0.02681702,0.03383023,0.02157988,0.02547472,0.03066668,0.02582224,0.02783263,0.03601583,0.03617786,0.03351884,0.02225466,0.03038872,0.02884971,0.02966996,0.0327182,0.02970963,0.0296518,0.03104458,0.0329732,0.03244819,0.02881811,0.03242876
2384.106,0.02745122,0.03323048,0.02684535,0.0338745,0.02159287,0.02547992,0.03068563,0.02584601,0.02784154,0.0360662,0.03622341,0.03352552,0.02228747,0.03040294,0.02887734,0.02967842,0.03272342,0.02972217,0.02969677,0.03109541,0.03301413,0.03245855,0.02882485,0.03244177
