"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"eb990442f3535d20fdd968fd118dc0c7","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","midas_g_108285","midas_s_120110"
"fd2d77c503467e76bfe0fbae1a745a19","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","midas_g_7260","midas_s_38556"
"585b3143d80f6c23342a75e4307553ee","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","midas_g_940",NA
"748bbebff50d71bdeaf1ef6ec8b33c84","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","midas_g_940",NA
"ac70def5775f7c7491a2071528abddaf","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","midas_g_940",NA
"84f9deea3a1a5cac62e9c91691eb6837","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","midas_g_940","midas_s_2083"
"0921912c82bfaaa58a69c8e9f83b3c04","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Schlesneriaceae","Planctopirus","midas_s_1709"
"95da946ffba74c67622ad19ec6ac5d7d","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Schlesneriaceae","Schlesneria","Schlesneria_paludicola"
"d9fdeb2954ed6192c9396b45eb012afa","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Schlesneriaceae","Schlesneria","midas_s_38403"
"9ce62eac71806f39593325b382c9bd90","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Schlesneriaceae","Schlesneria","Schlesneria_paludicola"
"0f9f675b55b05a4119a6c60f76d64d80","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Schlesneriaceae","Schlesneria","midas_s_69809"
"2e93be4cc6f0d3631ec7dce2964d5664","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","midas_f_1792","midas_g_18645","midas_s_19179"
"1f40e6589b63090d27a9bf2319e888c6","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","midas_f_1792","midas_g_28137","midas_s_28137"
"dd455a123dc416bd204027c1adcd5af9","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","midas_f_1792","midas_g_1792",NA
"1da385b7d3d67bd63c7e50b8121badb4","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","midas_f_1792","midas_g_1792","midas_s_51704"
"0288844e2940d7a2aa0c4ff37f7a4558","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","midas_f_1792","midas_g_1792","midas_s_5629"
"f798c7b55301016fd559eaa70cf87900","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","midas_f_1792","midas_g_1792","midas_s_1792"
"3f59e04f3c00eea7e216d1ef26d8de30","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","midas_f_1792","midas_g_1792","midas_s_26852"
"e06fdd943eba094c2108a9edbd4575bf","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","midas_f_1792","midas_g_21951","midas_s_45459"
"bf8d7023a580326c3a14b75f445c51cc","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","midas_f_1792","midas_g_21951","midas_s_21951"
"82d1223e58303ab01b19d0892e6a432e","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","midas_f_1792","midas_g_4975","midas_s_4975"
"5070c98e70b8196226ea828bbabd43ca","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","midas_f_1792","midas_g_4975","midas_s_5047"
