,S537_AD1,S538_AD2,S539_AD3,S540_AD4,S541_AD5,S542_AD6,S958_AD1,S959_AD2,S960_AD3,S961_AD4,S962_AD5,S963_AD6,S1189_AD1,S1190_AD2,S1191_AD3,S1192_AD4,S1193_AD5,S1194_AD6,S1365_AD1,S1366_AD2,S1367_AD3,S1368_AD4,S1369_AD5,S1370_AD6
,#048,#049,#050,#051,#052,#053,#086,#087,#088,#089,#090,#091,#095,#096,#097,#098,#099,#100,#103,#104,#105,#106,#107,#108
2983.387,89.25821,86.14241,90.51545,86.031,89.16859,88.65166,89.52441,87.94034,89.19256,80.60556,84.9356,86.72699,90.38971,88.48036,89.86494,89.47195,87.42815,88.27999,89.26163,88.81345,87.45831,86.69867,89.64927,87.50458
2983.869,89.28519,86.17654,90.53442,86.0592,89.19843,88.68051,89.54794,87.97678,89.21692,80.64204,84.97298,86.7615,90.41307,88.5162,89.88742,89.49606,87.47685,88.32415,89.2856,88.84166,87.48311,86.72498,89.67845,87.5498
2984.351,89.31081,86.20991,90.55318,86.08716,89.2275,88.70836,89.57079,88.01204,89.24043,80.6778,85.00988,86.79572,90.43563,88.55039,89.90849,89.5192,87.52362,88.36667,89.30855,88.8688,87.50631,86.75016,89.70702,87.59398
2984.833,89.33538,86.24254,90.57194,86.11498,89.25568,88.73518,89.59286,88.04602,89.2629,80.71275,85.0463,86.82962,90.45757,88.58295,89.92828,89.5413,87.5685,88.40766,89.33058,88.895,87.52809,86.77433,89.73513,87.63715
2985.315,89.35912,86.27439,90.59074,86.14256,89.28281,88.7609,89.61404,88.07867,89.28414,80.74665,85.08208,86.86305,90.47904,88.61407,89.94704,89.56226,87.61166,88.4473,89.35181,88.92032,87.54877,86.79745,89.7627,87.6792
2985.797,89.38229,86.30532,90.6094,86.16956,89.30883,88.78545,89.63414,88.11,89.30415,80.77923,85.11701,86.89593,90.50015,88.64395,89.96508,89.58221,87.65331,88.48598,89.37227,88.94476,87.56867,86.81959,89.78965,87.72014
2986.28,89.40508,86.33519,90.62773,86.19571,89.33369,88.80882,89.65312,88.14017,89.32303,80.81026,85.15091,86.92818,90.52099,88.67297,89.98276,89.60123,87.69375,88.52409,89.39204,88.96828,87.58813,86.84088,89.81587,87.76003
2986.762,89.42762,86.36392,90.64548,86.22073,89.35749,88.83111,89.67106,88.16948,89.34113,80.83965,85.18356,86.95975,90.5415,88.70133,90.00027,89.61948,87.73322,88.562,89.41123,88.99092,87.60738,86.86151,89.84131,87.79906
2987.244,89.44997,86.39144,90.66239,86.24442,89.38033,88.85252,89.68818,88.19824,89.3588,80.86726,85.21479,86.9905,90.56154,88.7291,90.01765,89.63707,87.77187,88.59988,89.42989,89.01266,87.62643,86.88174,89.86602,87.83752
2987.726,89.47205,86.41772,90.67828,86.26666,89.40231,88.87323,89.70473,88.22672,89.37634,80.89315,85.24447,87.02026,90.58083,88.75609,90.03473,89.65403,87.80968,88.63771,89.44802,89.0335,87.64513,86.90178,89.89005,87.87561
2988.208,89.49363,86.44268,90.69298,86.28738,89.42335,88.89322,89.72079,88.255,89.39387,80.91724,85.27248,87.04874,90.59904,88.78192,90.05113,89.6703,87.84652,88.67523,89.46552,89.05337,87.66319,86.92156,89.91333,87.91328
2988.69,89.51431,86.46619,90.70641,86.3065,89.44336,88.91242,89.73637,88.28294,89.41124,80.93951,85.29878,87.07573,90.61575,88.8061,90.0664,89.68585,87.88205,88.71202,89.48217,89.07216,87.68017,86.94084,89.93575,87.9502
2989.172,89.53365,86.48812,90.71857,86.32407,89.46217,88.93058,89.75123,88.31025,89.42815,80.95998,85.32339,87.1011,90.63069,88.82827,90.08015,89.70054,87.91599,88.74765,89.49773,89.08978,87.69582,86.95917,89.95707,87.9859
2989.654,89.55132,86.50845,90.72959,86.34023,89.47967,88.94749,89.76516,88.33656,89.44424,80.9788,85.34651,87.12497,90.6438,88.84835,90.09223,89.71429,87.94811,88.78178,89.51193,89.10621,87.71003,86.97604,89.97703,88.01987
2990.136,89.56713,86.52731,90.73963,86.35524,89.49587,88.9631,89.77804,88.36166,89.45923,80.99616,85.36839,87.14754,90.65526,88.86648,90.10271,89.72707,87.97838,88.81429,89.52478,89.12158,87.72296,86.99111,89.99545,88.05177
2990.619,89.58115,86.54493,90.74899,86.36945,89.51099,88.97756,89.78991,88.38548,89.47305,81.01244,85.38943,87.16923,90.6655,88.88322,90.112,89.73888,88.00687,88.84517,89.53644,89.13616,87.73499,87.00423,90.01227,88.08156
2991.101,89.5937,86.56161,90.75784,86.38317,89.52525,88.99118,89.80103,88.40813,89.48586,81.02791,85.40996,87.19038,90.67505,88.89915,90.1206,89.74977,88.03388,88.87461,89.54733,89.15033,87.74657,87.01552,90.02761,88.10945
2991.583,89.60519,86.5776,90.76629,86.39656,89.53894,89.00435,89.81173,88.42986,89.49794,81.04283,85.43021,87.21124,90.68438,88.91479,90.12903,89.7598,88.0597,88.90276,89.55785,89.16439,87.75805,87.02529,90.04166,88.13583
2992.065,89.61602,86.59299,90.77438,86.40955,89.55212,89.01729,89.82226,88.45086,89.50966,81.05724,85.45024,87.23184,90.69381,88.93042,90.13763,89.76904,88.08459,88.92973,89.56838,89.17848,87.76959,87.0339,90.05464,88.16101
2992.547,89.6264,86.60772,90.78208,86.42188,89.56474,89.03007,89.83263,88.4712,89.52119,81.07103,85.46997,87.25206,90.70338,88.94601,90.14651,89.7775,88.10867,88.95551,89.57906,89.19245,87.78109,87.0416,90.06676,88.18522
2993.029,89.63641,86.6216,90.78925,86.4332,89.57661,89.04251,89.84266,88.49075,89.53248,81.084,85.48925,87.27162,90.71294,88.96129,90.15556,89.78526,88.13197,88.98009,89.58971,89.20588,87.79218,87.04853,90.07815,88.20843
2993.511,89.64598,86.63442,90.79587,86.44318,89.58745,89.05431,89.85201,88.50928,89.54334,81.09595,85.50788,87.29028,90.72218,88.97587,90.16451,89.79232,88.15438,89.00339,89.59997,89.21822,87.80247,87.05478,90.08896,88.23061
2993.994,89.65497,86.64606,90.80196,86.4517,89.59707,89.06516,89.86028,88.52651,89.55341,81.10675,85.52577,87.30783,90.73079,88.98937,90.17302,89.79876,88.17583,89.02551,89.60944,89.22899,87.81162,87.0603,90.09928,88.25162
2994.476,89.66331,86.65652,90.80759,86.45892,89.60538,89.07482,89.86722,88.54219,89.56227,81.1163,85.54284,87.32417,90.73854,89.00159,90.18081,89.8047,88.19624,89.04656,89.61781,89.2379,87.81945,87.06519,90.10925,88.27154
2994.958,89.67105,86.66589,90.81287,86.46507,89.61235,89.0832,89.8728,88.55626,89.56967,81.12457,85.55904,87.33929,90.74539,89.0125,90.18777,89.81023,88.2156,89.06677,89.62502,89.24494,87.82598,87.06951,90.11892,88.29043
2995.44,89.67829,86.67429,90.8178,86.47051,89.61808,89.09034,89.87715,88.56875,89.57549,81.13151,85.57429,87.35323,90.75137,89.02216,90.19387,89.81546,88.23396,89.08629,89.63123,89.25048,87.83143,87.07343,90.12835,88.30849
2995.922,89.68512,86.68182,90.82235,86.47546,89.62261,89.09628,89.88052,88.57986,89.57985,81.13696,85.58841,87.366,90.75658,89.03072,90.19915,89.82045,88.25139,89.10521,89.63682,89.255,87.83607,87.07693,90.13734,88.32573
2996.404,89.69163,86.68855,90.8264,86.48005,89.62602,89.10111,89.8832,88.58979,89.58299,81.14092,85.60133,87.37777,90.76118,89.03836,90.20367,89.82522,88.268,89.12354,89.64212,89.259,87.84019,87.08005,90.14578,88.34215
2996.886,89.69777,86.69441,90.82981,86.48411,89.62833,89.10492,89.8854,88.5988,89.58531,81.14332,85.61284,87.38864,90.76527,89.04523,90.20754,89.82977,88.2839,89.14127,89.64744,89.26293,87.84399,87.08262,90.15334,88.35754
2997.368,89.70346,86.6995,90.83253,86.48754,89.62965,89.10783,89.88726,88.60706,89.58717,81.14438,85.62297,87.39886,90.76899,89.05151,90.21085,89.83403,88.29913,89.15825,89.65274,89.26692,87.84753,87.08453,90.15983,88.37175
2997.851,89.7086,86.70388,90.8346,86.49016,89.63018,89.11005,89.88888,88.61475,89.58885,81.14439,85.6318,87.40863,90.77235,89.05734,90.21362,89.83797,88.31377,89.17448,89.65791,89.27097,87.85084,87.08563,90.16523,88.38465
2998.333,89.71316,86.70769,90.83611,86.49192,89.6302,89.11186,89.89034,88.62189,89.59045,81.14378,85.63944,87.41812,90.77538,89.06279,90.21591,89.84155,88.32774,89.18989,89.66262,89.27488,87.85378,87.08594,90.1696,88.39632
2998.815,89.71716,86.71103,90.83717,86.49278,89.62995,89.11356,89.8917,88.62856,89.59199,81.1428,85.64599,87.42728,90.77799,89.06783,90.21773,89.84471,88.34094,89.20444,89.66663,89.27845,87.85626,87.08549,90.17319,88.40696
2999.297,89.72069,86.71387,90.83778,86.49277,89.62965,89.11536,89.89301,88.63471,89.59325,81.14153,85.65141,87.43584,90.78001,89.07227,90.21903,89.84732,88.35308,89.21795,89.66965,89.28143,87.85814,87.08441,90.17623,88.41679
2999.779,89.72373,86.71604,90.83781,86.49181,89.6293,89.11727,89.89418,88.64029,89.59403,81.13977,85.65555,87.44341,90.78118,89.07572,90.21967,89.84922,88.36387,89.2302,89.67168,89.28368,87.85928,87.08279,90.17889,88.42596
3000.261,89.72633,86.71728,90.8371,86.48987,89.62878,89.11913,89.89505,88.64528,89.59417,81.13713,85.6582,87.44952,90.78135,89.07793,90.21962,89.85021,88.37296,89.24091,89.67279,89.28518,87.85965,87.08063,90.18123,88.43453
3000.743,89.72835,86.71727,90.83544,86.48684,89.62788,89.12063,89.89537,88.64959,89.5936,81.13321,85.65919,87.45384,90.78035,89.07862,90.21875,89.85014,88.38022,89.24986,89.67315,89.2859,87.85922,87.0779,90.18316,88.44233
3001.225,89.7297,86.71585,90.83276,86.48279,89.6264,89.12146,89.89493,88.65329,89.59243,81.12785,85.65862,87.45638,90.77827,89.07782,90.2171,89.8489,88.38561,89.257,89.67294,89.28588,87.85813,87.07453,90.18456,88.4492
3001.708,89.73024,86.71306,90.82923,86.47784,89.6243,89.12144,89.89365,88.65641,89.59093,81.12113,85.65676,87.45736,90.77538,89.07594,90.21489,89.8465,88.3894,89.26241,89.67222,89.2851,87.85645,87.07055,90.18537,88.45501
3002.19,89.72994,86.70918,90.82513,86.47237,89.62167,89.12057,89.89158,88.65907,89.58938,81.11347,85.65412,87.45736,90.77207,89.07355,90.21234,89.84312,88.39199,89.2664,89.67102,89.28356,87.85432,87.06608,90.18559,88.45981
3002.672,89.72879,86.70461,90.82087,86.46671,89.61873,89.11897,89.88897,88.66139,89.58798,81.10536,85.65128,87.45697,90.76879,89.07134,90.20982,89.83903,88.39397,89.26938,89.66927,89.28125,87.85185,87.06132,90.18537,88.46389
3003.154,89.72682,86.69976,90.81681,86.4612,89.61573,89.11688,89.88613,88.66335,89.58675,81.09718,85.64862,87.4566,90.76587,89.06984,90.20757,89.83454,88.39581,89.27175,89.66681,89.2781,87.84901,87.0565,90.18495,88.46761
3003.636,89.72401,86.69485,90.81313,86.45593,89.6128,89.11436,89.88328,88.66489,89.58549,81.08904,85.64634,87.45644,90.76349,89.06926,90.20578,89.83001,88.39787,89.27382,89.66356,89.27409,87.84572,87.0518,90.18448,88.47132
3004.118,89.72036,86.68999,90.80988,86.45091,89.60989,89.11137,89.88047,88.66585,89.58381,81.08081,85.64438,87.4564,90.76154,89.0694,90.20443,89.82563,88.40031,89.27575,89.65952,89.26927,87.84186,87.04723,90.18407,88.47523
3004.6,89.71586,86.68512,90.80695,86.44596,89.6069,89.10773,89.87763,88.66608,89.58135,81.07212,85.64246,87.45617,90.75976,89.06978,90.20334,89.82153,88.40311,89.27762,89.65481,89.26379,87.83741,87.04268,90.1837,88.47934
3005.082,89.71056,86.6801,90.80418,86.44089,89.60357,89.10327,89.8745,88.66544,89.57776,81.06272,85.64039,87.45547,90.75786,89.06982,90.20232,89.8177,88.40609,89.27941,89.64967,89.25785,87.83244,87.03796,90.18326,88.48344
3005.564,89.70464,86.6749,90.80146,86.43562,89.59977,89.09787,89.87089,88.66397,89.57298,81.05245,85.63795,87.45407,90.75551,89.06899,90.2011,89.81403,88.40899,89.28109,89.64442,89.25176,87.82713,87.03277,90.18256,88.48718
3006.047,89.6984,86.66962,90.79877,86.4302,89.59548,89.09162,89.86667,88.66177,89.56718,81.04146,85.63515,87.45192,90.75262,89.06709,90.19955,89.81039,88.41147,89.28255,89.63931,89.2458,87.82169,87.02687,90.1814,88.4902
3006.529,89.69218,86.66432,90.79604,86.42464,89.59084,89.08479,89.86195,88.6591,89.56072,81.03002,85.63208,87.44906,90.74902,89.06401,90.19747,89.80665,88.41322,89.28368,89.63457,89.24016,87.81631,87.02009,90.1796,88.4922
3007.011,89.68632,86.65907,90.79318,86.41898,89.58604,89.07774,89.85691,88.65627,89.55406,81.01843,85.62879,87.44557,90.74474,89.05995,90.19482,89.80264,88.4139,89.28422,89.6302,89.23487,87.81097,87.01235,90.1771,88.49301
3007.493,89.68096,86.65376,90.78996,86.41301,89.58123,89.07066,89.85175,88.6535,89.54758,81.00683,85.62525,87.44147,90.73968,89.05502,90.19145,89.79826,88.41329,89.28387,89.62612,89.22984,87.80553,87.00356,90.17376,88.49254
3007.975,89.67609,86.64812,90.78604,86.40645,89.57655,89.06368,89.84664,88.65099,89.54152,80.99522,85.62136,87.43684,90.73384,89.04937,90.18729,89.79346,88.41129,89.28234,89.62205,89.22475,87.79967,86.99377,90.1696,88.49084
3008.457,89.67153,86.64179,90.78111,86.39883,89.57204,89.05675,89.8416,88.64877,89.53591,80.98344,85.61692,87.43166,90.72719,89.04298,90.18225,89.78813,88.40789,89.27935,89.61768,89.2193,87.79311,86.98302,90.16461,88.48798
3008.939,89.66705,86.63449,90.77494,86.38986,89.56761,89.04968,89.83649,88.64671,89.53066,80.9714,85.61189,87.42609,90.7197,89.0359,90.17628,89.78226,88.40335,89.27492,89.61276,89.21323,87.78567,86.97153,90.15895,88.48418
3009.422,89.6625,86.62604,90.76765,86.37944,89.56322,89.04238,89.83122,88.64462,89.52556,80.95917,85.60638,87.42036,90.71146,89.02813,90.16938,89.77586,88.39817,89.26935,89.60719,89.20644,87.77741,86.95953,90.15269,88.47964
3009.904,89.65784,86.6166,90.75959,86.36786,89.55885,89.03487,89.82567,88.64223,89.52039,80.94693,85.60063,87.41482,90.70269,89.01986,90.16175,89.76894,88.39278,89.26304,89.60094,89.19901,87.76857,86.9474,90.1461,88.47472
3010.386,89.65323,86.60648,90.75137,86.35561,89.55446,89.02731,89.81988,88.63916,89.51494,80.93498,85.59499,87.40967,90.69368,89.01139,90.15359,89.76162,88.38773,89.25661,89.59418,89.19119,87.75954,86.93543,90.13929,88.46967
3010.868,89.64877,86.59611,90.74361,86.34334,89.55003,89.01986,89.81397,88.63509,89.50901,80.92348,85.58969,87.40501,90.68465,89.00304,90.14519,89.75403,88.38329,89.25055,89.5871,89.18327,87.75067,86.92388,90.13242,88.46482
3011.35,89.64453,86.58582,90.73672,86.33156,89.54554,89.0127,89.80814,88.62983,89.50256,80.91239,85.58474,87.40066,90.67579,88.99509,90.13681,89.74631,88.37953,89.24522,89.57993,89.17559,87.74223,86.91273,90.12551,88.46031
3011.832,89.64038,86.57587,90.73088,86.32063,89.54088,89.00575,89.80248,88.62335,89.49548,80.90147,85.58,87.39628,90.66723,88.98773,90.12878,89.73869,88.37637,89.24072,89.57279,89.16833,87.7343,86.90184,90.11858,88.45623
3012.314,89.63604,86.56635,90.72587,86.31052,89.536,88.99885,89.79708,88.61591,89.48795,80.89033,85.57515,87.39154,90.65903,88.98101,90.12136,89.73132,88.37357,89.23701,89.56577,89.16158,87.72681,86.89098,90.11163,88.45261
